Date,Description,Amount,Type,Category
2025-12-10,SEO Audit Project - Client B,32603,income,Services
2025-12-11,SEO Audit Project - Client B,39158,income,Services
2025-12-13,Professional Course - Udemy,2942,expense,Software
2025-12-17,Home Office Internet Bill,1849,expense,Utilities
2025-12-20,Mobile App UI Project,61474,income,Services
2025-12-22,UX/UI Design Retainer - Client D,41878,income,Services
2025-12-22,GitHub Copilot & Tools,1809,expense,Software
2025-12-23,Web Development Project - Client A,75318,income,Services
2025-12-25,GST Filing Fee - CA,3797,expense,Taxes
2025-12-30,Laptop SSD Upgrade,5698,expense,Equipment
2026-01-01,Home Office Internet Bill,1842,expense,Utilities
2026-01-02,Laptop SSD Upgrade,6642,expense,Equipment
2026-01-06,React App Development - Client C,80788,income,Services
2026-01-08,Professional Course - Udemy,2712,expense,Software
2026-01-08,Social Media Marketing Consultation,27588,income,Services
2026-01-08,GST Filing Fee - CA,3171,expense,Taxes
2026-01-08,Social Media Marketing Consultation,28233,income,Services
2026-01-09,Logo Design Project - Startup,16966,income,Services
2026-01-10,Adobe CC + Notion Subscriptions,4397,expense,Software
2026-01-13,Brand Identity Project - Startup B,50272,income,Services
2026-01-14,Figma Pro Annual Plan,3240,expense,Software
2026-01-16,Mobile App UI Project,60423,income,Services
2026-01-17,E-commerce Redesign Project,91673,income,Services
2026-01-19,E-commerce Redesign Project,88389,income,Services
2026-01-21,Software Subscriptions,5215,expense,Software
2026-01-23,E-commerce Redesign Project,78681,income,Services
2026-01-24,Brand Identity Project - Startup B,39331,income,Services
2026-01-25,Laptop SSD Upgrade,5702,expense,Equipment
2026-01-27,SEO Audit Project - Client B,35119,income,Services
2026-01-28,Home Office Internet Bill,1958,expense,Utilities
2026-01-29,Figma Pro Annual Plan,3082,expense,Software
2026-02-03,Income Tax Advance Payment,19573,expense,Taxes
2026-02-03,GST Filing Fee - CA,3748,expense,Taxes
2026-02-07,Professional Course - Udemy,2650,expense,Software
2026-02-07,Figma Pro Annual Plan,3034,expense,Software
2026-02-08,GitHub Copilot & Tools,2289,expense,Software
2026-02-09,Home Office Internet Bill,1975,expense,Utilities
2026-02-10,Laptop SSD Upgrade,7190,expense,Equipment
2026-02-11,Home Office Internet Bill,1575,expense,Utilities
2026-02-13,Home Office Internet Bill,1982,expense,Utilities
2026-02-13,Professional Course - Udemy,3319,expense,Software
2026-02-14,Home Office Internet Bill,1787,expense,Utilities
2026-02-14,GitHub Copilot & Tools,1735,expense,Software
2026-02-15,External Hard Drive - Backup,4166,expense,Equipment
2026-02-16,Brand Identity Project - Startup B,45171,income,Services
2026-02-18,Social Media Marketing Consultation,21502,income,Services
2026-02-19,Logo Design Project - Startup,16152,income,Services
2026-02-21,Software Subscriptions,5283,expense,Software
2026-02-22,Professional Course - Udemy,3064,expense,Software
2026-02-22,Adobe Creative Cloud Subscription,3974,expense,Software
2026-02-25,Software Subscriptions,5896,expense,Software
2026-02-25,React App Development - Client C,85031,income,Services
2026-02-26,GST Filing Fee - CA,3106,expense,Taxes
2026-02-27,Logo Design Project - Startup,18859,income,Services
2026-02-28,Professional Course - Udemy,3368,expense,Software
2026-03-01,Content Writing Contract,24989,income,Services
2026-03-03,SEO Audit Project - Client B,36697,income,Services
2026-03-06,Home Office Internet Bill,1612,expense,Utilities
2026-03-07,GitHub Copilot & Tools,2242,expense,Software
2026-03-08,Adobe Creative Cloud Subscription,4249,expense,Software
2026-03-08,GST Filing Fee - CA,3217,expense,Taxes
2026-03-09,Content Writing Contract,23564,income,Services
2026-03-09,Figma Pro Annual Plan,2920,expense,Software
2026-03-10,React App Development - Client C,79768,income,Services
2026-03-10,Mobile App UI Project,72443,income,Services
2026-03-11,Content Writing Contract,25086,income,Services
2026-03-11,E-commerce Redesign Project,69653,income,Services
2026-03-17,Home Office Internet Bill,2029,expense,Utilities
2026-03-18,Figma Pro Annual Plan,3249,expense,Software
2026-03-19,Adobe Creative Cloud Subscription,4471,expense,Software
2026-03-22,Content Writing Contract,22890,income,Services
2026-03-22,E-commerce Redesign Project,87111,income,Services
2026-03-22,GitHub Copilot & Tools,2012,expense,Software
