Date,Description,Amount,Type,Category
2026-01-19,Staff Salary - 2 employees,27047,expense,Salaries
2026-01-21,Amazon Seller Payout,44550,income,Sales
2026-01-22,Electricity & Internet Bill,5309,expense,Utilities
2026-01-24,Product Sales - In-store,77931,income,Sales
2026-01-27,Shop Rent - February,13931,expense,Rent
2026-01-27,Online Sales - Meesho payout,32790,income,Sales
2026-01-29,Online Sales - Flipkart payout,31007,income,Sales
2026-01-30,Product Sales - Electronics,70016,income,Sales
2026-01-30,Inventory Restock - Mobile accessories,20362,expense,Inventory
2026-01-31,Shop Rent - January,13771,expense,Rent
2026-02-01,New Display Rack,7126,expense,Equipment
2026-02-02,Inventory Restock - Mobile accessories,23013,expense,Inventory
2026-02-04,Shop Rent - February,16740,expense,Rent
2026-02-06,Electricity & Internet Bill,6321,expense,Utilities
2026-02-06,Electricity & Internet Bill,5762,expense,Utilities
2026-02-07,Staff Salary - 2 employees,27423,expense,Salaries
2026-02-09,Google Ads Campaign,6237,expense,Marketing
2026-02-11,Online Sales - Flipkart payout,29401,income,Sales
2026-02-14,Product Sales - In-store,65878,income,Sales
2026-02-15,Inventory Restock - Mobile accessories,22470,expense,Inventory
2026-02-17,Bulk Order - Corporate client,72846,income,Sales
2026-02-19,Product Sales - Electronics,59372,income,Sales
2026-02-19,Staff Salary - 2 employees,24241,expense,Salaries
2026-02-21,Inventory Restock - Laptops,38816,expense,Inventory
2026-02-24,Staff Salary - 2 employees,25836,expense,Salaries
2026-02-25,Accounting Software,2795,expense,Software
2026-02-27,Shop Rent - February,12823,expense,Rent
2026-03-05,Shop Rent - March,13506,expense,Rent
2026-03-05,Staff Salary - 2 employees,27737,expense,Salaries
2026-03-07,Inventory Restock - Mobile accessories,18277,expense,Inventory
2026-03-07,Electricity & Internet Bill,6036,expense,Utilities
2026-03-07,Shop Rent - February,14597,expense,Rent
2026-03-11,Online Sales - Flipkart payout,36913,income,Sales
2026-03-14,Inventory Restock - Laptops,33641,expense,Inventory
2026-03-16,Electricity & Internet Bill,5189,expense,Utilities
2026-03-16,Inventory Restock - Mobile accessories,23827,expense,Inventory
2026-03-16,Shop Rent - March,17053,expense,Rent
2026-03-17,New Display Rack,8140,expense,Equipment
2026-03-18,Google Ads Campaign,5940,expense,Marketing
2026-03-18,Electricity & Internet Bill,5382,expense,Utilities
2026-03-18,Shop Rent - February,15196,expense,Rent
2026-03-20,Shop Rent - February,16210,expense,Rent
2026-03-20,Shop Rent - February,14388,expense,Rent
2026-03-21,Wholesale Purchase,17307,expense,Inventory
2026-03-21,Staff Salary - 2 employees,31107,expense,Salaries
2026-03-21,Google Ads Campaign,5227,expense,Marketing
2026-03-24,Product Sales - In-store,63577,income,Sales
2026-03-25,New Display Rack,6985,expense,Equipment
