Date,Narration,Debit,Credit,Category
29/01/26,NEFT CR-AXIS000999-CLIENT B PAYMENT,,57544,Services
30/01/26,NEFT CR-KOTAK0003333-BULK ORDER CLIENT C,,89896,Sales
02/02/26,NACH DEBIT-ELECTRICITY BOARD MSEB,5020,,Utilities
02/02/26,NEFT CR-ICICI0005678-ONLINE MARKETPLACE PAYOUT,,32637,Sales
02/02/26,NACH DEBIT-ELECTRICITY BOARD MSEB,5457,,Utilities
04/02/26,ECS DEBIT-RENTAL PAYMENT MAR 2026,13042,,Rent
04/02/26,NEFT CR-KOTAK0003333-BULK ORDER CLIENT C,,74664,Sales
10/02/26,UPI/SALARY TRANSFER RAVI KUMAR,14496,,Salaries
10/02/26,ECS DEBIT-RENTAL PAYMENT MAR 2026,12834,,Rent
11/02/26,UPI/PAYMENT INVENTORY SUPPLIER,38764,,Inventory
19/02/26,UPI/SALARY TRANSFER RAVI KUMAR,14727,,Salaries
21/02/26,ECS DEBIT-RENTAL PAYMENT JAN 2026,14840,,Rent
22/02/26,NEFT CR-PNB0007777-MEESHO PAYOUT,,26124,Sales
23/02/26,NACH DEBIT-ELECTRICITY BOARD MSEB,5506,,Utilities
24/02/26,UPI/SALARY TRANSFER RAVI KUMAR,15849,,Salaries
24/02/26,NACH DEBIT-ELECTRICITY BOARD MSEB,4820,,Utilities
25/02/26,UPI/SALARY TRANSFER PRIYA SHAH,13051,,Salaries
25/02/26,UPI/PAYMENT TO VENDOR SHARMA TRADERS/REF123,20112,,Inventory
26/02/26,NACH DEBIT-ELECTRICITY BOARD MSEB,5553,,Utilities
26/02/26,NEFT CR-AXIS000999-CLIENT B PAYMENT,,51169,Services
27/02/26,IMPS/PURCHASE INVENTORY MUMBAI SUPPLIERS,16328,,Inventory
27/02/26,IMPS/PURCHASE INVENTORY MUMBAI SUPPLIERS,15549,,Inventory
27/02/26,UPI/SALARY TRANSFER PRIYA SHAH,15203,,Salaries
28/02/26,UPI/SALARY TRANSFER PRIYA SHAH,15589,,Salaries
01/03/26,UPI/PAYMENT INVENTORY SUPPLIER,30138,,Inventory
02/03/26,UPI/SALARY TRANSFER RAVI KUMAR,13215,,Salaries
02/03/26,NEFT CR-ICICI0005678-ONLINE MARKETPLACE PAYOUT,,29856,Sales
03/03/26,IMPS/PURCHASE INVENTORY MUMBAI SUPPLIERS,16074,,Inventory
03/03/26,UPI/PAYMENT GOOGLE ADS INDIA,6795,,Marketing
03/03/26,UPI/SALARY TRANSFER RAVI KUMAR,12562,,Salaries
04/03/26,ECS DEBIT-RENTAL PAYMENT FEB 2026,13053,,Rent
05/03/26,NEFT CR-ICICI0005678-ONLINE MARKETPLACE PAYOUT,,32780,Sales
06/03/26,IMPS/PURCHASE INVENTORY MUMBAI SUPPLIERS,19623,,Inventory
10/03/26,UPI/SALARY TRANSFER PRIYA SHAH,12851,,Salaries
10/03/26,UPI/SALARY TRANSFER RAVI KUMAR,14868,,Salaries
11/03/26,NACH DEBIT-ELECTRICITY BOARD MSEB,5116,,Utilities
11/03/26,UPI/PAYMENT GOOGLE ADS INDIA,5506,,Marketing
12/03/26,UPI/SALARY TRANSFER PRIYA SHAH,14608,,Salaries
13/03/26,UPI/PAYMENT INVENTORY SUPPLIER,31940,,Inventory
15/03/26,NEFT CR-AXIS000999-CLIENT B PAYMENT,,64108,Services
15/03/26,UPI/SALARY TRANSFER PRIYA SHAH,13084,,Salaries
16/03/26,NACH DEBIT-ELECTRICITY BOARD MSEB,4728,,Utilities
17/03/26,NEFT CR-SBI0009876-AMAZON SELLER PAYOUT,,35395,Sales
21/03/26,NEFT CR-PNB0007777-MEESHO PAYOUT,,31691,Sales
22/03/26,NACH DEBIT-ELECTRICITY BOARD MSEB,5476,,Utilities
23/03/26,NACH DEBIT-ELECTRICITY BOARD MSEB,6053,,Utilities
23/03/26,UPI/SALARY TRANSFER RAVI KUMAR,15406,,Salaries
24/03/26,UPI/PAYMENT GOOGLE ADS INDIA,5796,,Marketing
24/03/26,UPI/SALARY TRANSFER PRIYA SHAH,12953,,Salaries
