Date,Description,Amount,Type,Category
2025-12-17,Raw Material Purchase,13470,expense,Inventory
2025-12-20,Office Rent,11653,expense,Rent
2025-12-20,Office Rent,12156,expense,Rent
2025-12-23,Utility Bills,4408,expense,Utilities
2025-12-23,Utility Bills,3873,expense,Utilities
2025-12-23,Consultant Fee - Unplanned,19769,expense,Services
2025-12-24,Office Rent,10670,expense,Rent
2025-12-24,Raw Material Purchase - PRICE SPIKE,42065,expense,Inventory
2025-12-29,Office Rent,13604,expense,Rent
2026-01-03,Office Rent,11043,expense,Rent
2026-01-03,Product Sales March - Low Season,32033,income,Sales
2026-01-05,Utility Bills,3741,expense,Utilities
2026-01-07,Product Sales March - Low Season,33219,income,Sales
2026-01-08,Utility Bills,3784,expense,Utilities
2026-01-10,Staff Salaries,33283,expense,Salaries
2026-01-10,Utility Bills,3437,expense,Utilities
2026-01-12,Utility Bills,4667,expense,Utilities
2026-01-12,Product Sales February,54708,income,Sales
2026-01-13,Office Rent,10672,expense,Rent
2026-01-14,Raw Material Purchase - PRICE SPIKE,41751,expense,Inventory
2026-01-14,Consultant Fee - Unplanned,18593,expense,Services
2026-01-15,Office Rent,12295,expense,Rent
2026-01-16,Office Rent,12477,expense,Rent
2026-01-16,Consultant Fee - Unplanned,15931,expense,Services
2026-01-20,Product Sales March - Low Season,29548,income,Sales
2026-01-20,Utility Bills,4148,expense,Utilities
2026-01-21,Office Rent,10381,expense,Rent
2026-01-24,Raw Material Purchase,17622,expense,Inventory
2026-01-26,Equipment Breakdown Repair,21381,expense,Equipment
2026-01-26,Product Sales February,49843,income,Sales
2026-01-27,Utility Bills - Summer Surge,10635,expense,Utilities
2026-01-31,Utility Bills - Summer Surge,12873,expense,Utilities
2026-01-31,Raw Material Purchase,12979,expense,Inventory
2026-02-01,Office Rent,11130,expense,Rent
2026-02-01,Product Sales March - Low Season,29825,income,Sales
2026-02-02,Product Sales January,46667,income,Sales
2026-02-05,Staff Salaries,33933,expense,Salaries
2026-02-10,Utility Bills - Summer Surge,10819,expense,Utilities
2026-02-11,Raw Material Purchase - PRICE SPIKE,43145,expense,Inventory
2026-02-14,Office Rent,12328,expense,Rent
2026-02-14,Consultant Fee - Unplanned,16584,expense,Services
2026-02-15,Utility Bills - Summer Surge,10965,expense,Utilities
2026-02-16,Product Sales January,58646,income,Sales
2026-02-16,Office Rent,12993,expense,Rent
2026-02-24,Office Rent,12816,expense,Rent
2026-02-24,Raw Material Purchase,18003,expense,Inventory
2026-02-25,Product Sales January,49068,income,Sales
2026-02-25,Staff Salaries,30411,expense,Salaries
2026-02-25,Staff Salaries,27683,expense,Salaries
2026-03-01,Raw Material Purchase - PRICE SPIKE,37836,expense,Inventory
2026-03-04,Staff Salaries,26021,expense,Salaries
2026-03-04,Utility Bills,4116,expense,Utilities
2026-03-05,Product Sales January,59490,income,Sales
2026-03-05,Staff Salaries,28021,expense,Salaries
2026-03-08,Utility Bills - Summer Surge,12246,expense,Utilities
2026-03-09,Consultant Fee - Unplanned,16634,expense,Services
2026-03-11,Utility Bills,3730,expense,Utilities
2026-03-13,Staff Salaries,30799,expense,Salaries
2026-03-14,Office Rent,11268,expense,Rent
2026-03-14,Product Sales January,53865,income,Sales
2026-03-15,Emergency Marketing Campaign,13366,expense,Marketing
2026-03-15,Staff Salaries,26887,expense,Salaries
2026-03-15,Raw Material Purchase,13438,expense,Inventory
2026-03-16,Equipment Breakdown Repair,23487,expense,Equipment
2026-03-16,Raw Material Purchase,13219,expense,Inventory
2026-03-16,Product Sales March - Low Season,26910,income,Sales
2026-03-18,Raw Material Purchase,13459,expense,Inventory
2026-03-19,Raw Material Purchase - PRICE SPIKE,35572,expense,Inventory
2026-03-19,Raw Material Purchase,17399,expense,Inventory
2026-03-19,Product Sales March - Low Season,32669,income,Sales
2026-03-20,Raw Material Purchase,15995,expense,Inventory
2026-03-21,Office Rent,12571,expense,Rent
2026-03-22,Office Rent,11694,expense,Rent
2026-03-24,Product Sales March - Low Season,28410,income,Sales
2026-03-25,Raw Material Purchase - PRICE SPIKE,38889,expense,Inventory
